,Protocol,Service,Prediction
0,tcp,private,DoS
1,tcp,private,DoS
2,tcp,ftp_data,Normal
3,icmp,eco_i,Probe
4,tcp,telnet,Normal
5,tcp,http,Normal
6,tcp,smtp,Normal
7,tcp,telnet,Normal
8,tcp,http,Normal
9,tcp,ftp,Normal
10,tcp,telnet,Normal
11,tcp,smtp,Normal
12,tcp,private,DoS
13,tcp,telnet,DoS
14,tcp,telnet,Normal
15,tcp,http,Normal
16,tcp,http,Normal
17,tcp,http,Normal
18,udp,private,DoS
19,tcp,private,DoS
20,tcp,other,DoS
21,tcp,other,DoS
22,tcp,http,Normal
23,tcp,http,Normal
24,tcp,courier,DoS
25,tcp,other,DoS
26,tcp,http,Normal
27,tcp,http,Normal
28,icmp,ecr_i,DoS
29,udp,private,DoS
30,tcp,http,DoS
31,tcp,smtp,Normal
32,tcp,http,Normal
33,udp,private,Probe
34,tcp,private,Probe
35,tcp,other,Probe
36,tcp,http,Normal
37,tcp,ftp,Normal
38,udp,domain_u,Normal
39,tcp,ftp_data,Normal
40,tcp,private,DoS
41,tcp,http,Normal
42,tcp,http,Normal
43,tcp,http,Normal
44,tcp,other,DoS
45,tcp,http,Normal
46,tcp,other,DoS
47,tcp,http,DoS
48,tcp,telnet,DoS
49,udp,private,Normal
50,tcp,http,Normal
51,tcp,http,Normal
52,tcp,iso_tsap,DoS
53,tcp,private,DoS
54,tcp,ftp,Normal
55,tcp,http,Normal
56,tcp,other,DoS
57,udp,private,Normal
58,tcp,telnet,Normal
59,tcp,http,Normal
60,tcp,other,Normal
61,tcp,ftp_data,Normal
62,tcp,http,Normal
63,tcp,http,Normal
64,tcp,other,Probe
65,tcp,http,Normal
66,tcp,telnet,Normal
67,tcp,private,DoS
68,tcp,smtp,DoS
69,tcp,http,Normal
70,tcp,private,DoS
71,tcp,smtp,Normal
72,tcp,http,Normal
73,tcp,http,Normal
74,tcp,other,DoS
75,tcp,http,Normal
76,tcp,http,Normal
77,tcp,telnet,Normal
78,tcp,http,Normal
79,tcp,http,Normal
80,tcp,private,DoS
81,tcp,private,DoS
82,icmp,ecr_i,DoS
83,tcp,http,Normal
84,tcp,http,Normal
85,tcp,http,Normal
86,tcp,finger,DoS
87,tcp,other,Probe
88,tcp,http,Normal
89,tcp,ftp_data,Normal
90,tcp,http,Normal
91,tcp,http,Normal
92,tcp,private,DoS
93,tcp,other,Normal
94,tcp,other,Normal
95,tcp,smtp,Normal
96,tcp,http,Normal
97,udp,domain_u,Normal
98,tcp,private,Probe
